sample_index,label,dominant_freq_raw,dominant_freq_normalized
416,dripping,268.55468749999994,2.6855468749999996
417,dripping,244.14062499999997,2.4414062499999996
418,dripping,268.55468749999994,2.6855468749999996
419,dripping,268.55468749999994,2.6855468749999996
420,dripping,268.55468749999994,2.6855468749999996
421,dripping,268.55468749999994,2.6855468749999996
422,dripping,268.55468749999994,2.6855468749999996
423,dripping,268.55468749999994,2.6855468749999996
424,dripping,268.55468749999994,2.6855468749999996
425,dripping,268.55468749999994,2.6855468749999996
426,dripping,268.55468749999994,2.6855468749999996
427,dripping,268.55468749999994,2.6855468749999996
428,dripping,268.55468749999994,2.6855468749999996
429,dripping,268.55468749999994,2.6855468749999996
430,dripping,268.55468749999994,2.6855468749999996
431,dripping,268.55468749999994,2.6855468749999996
432,dripping,268.55468749999994,2.6855468749999996
433,dripping,268.55468749999994,2.6855468749999996
434,dripping,268.55468749999994,2.6855468749999996
435,dripping,268.55468749999994,2.6855468749999996
436,dripping,268.55468749999994,2.6855468749999996
437,dripping,268.55468749999994,2.6855468749999996
438,dripping,268.55468749999994,2.6855468749999996
439,dripping,268.55468749999994,2.6855468749999996
440,dripping,268.55468749999994,2.6855468749999996
441,dripping,268.55468749999994,2.6855468749999996
442,dripping,268.55468749999994,2.6855468749999996
443,dripping,268.55468749999994,2.6855468749999996
444,dripping,268.55468749999994,2.6855468749999996
445,dripping,268.55468749999994,2.6855468749999996
446,dripping,268.55468749999994,2.6855468749999996
447,dripping,268.55468749999994,2.6855468749999996
448,dripping,268.55468749999994,2.6855468749999996
449,dripping,244.14062499999997,2.4414062499999996
450,dripping,268.55468749999994,2.6855468749999996
451,dripping,268.55468749999994,2.6855468749999996
452,dripping,268.55468749999994,2.6855468749999996
453,dripping,268.55468749999994,2.6855468749999996
454,dripping,268.55468749999994,2.6855468749999996
455,dripping,268.55468749999994,2.6855468749999996
456,dripping,268.55468749999994,2.6855468749999996
457,dripping,268.55468749999994,2.6855468749999996
458,dripping,268.55468749999994,2.6855468749999996
459,dripping,268.55468749999994,2.6855468749999996
460,dripping,268.55468749999994,2.6855468749999996
461,dripping,268.55468749999994,2.6855468749999996
462,dripping,268.55468749999994,2.6855468749999996
463,dripping,268.55468749999994,2.6855468749999996
464,dripping,268.55468749999994,2.6855468749999996
465,dripping,268.55468749999994,2.6855468749999996
466,dripping,268.55468749999994,2.6855468749999996
467,dripping,268.55468749999994,2.6855468749999996
468,dripping,268.55468749999994,2.6855468749999996
469,dripping,268.55468749999994,2.6855468749999996
470,dripping,268.55468749999994,2.6855468749999996
471,dripping,268.55468749999994,2.6855468749999996
472,dripping,268.55468749999994,2.6855468749999996
473,dripping,268.55468749999994,2.6855468749999996
474,dripping,268.55468749999994,2.6855468749999996
475,dripping,268.55468749999994,2.6855468749999996
476,dripping,268.55468749999994,2.6855468749999996
477,dripping,268.55468749999994,2.6855468749999996
478,dripping,268.55468749999994,2.6855468749999996
479,dripping,268.55468749999994,2.6855468749999996
480,dripping,268.55468749999994,2.6855468749999996
481,dripping,268.55468749999994,2.6855468749999996
482,dripping,268.55468749999994,2.6855468749999996
483,dripping,268.55468749999994,2.6855468749999996
484,dripping,268.55468749999994,2.6855468749999996
485,dripping,268.55468749999994,2.6855468749999996
486,dripping,268.55468749999994,2.6855468749999996
487,dripping,268.55468749999994,2.6855468749999996
488,dripping,268.55468749999994,2.6855468749999996
489,dripping,268.55468749999994,2.6855468749999996
490,dripping,268.55468749999994,2.6855468749999996
491,dripping,268.55468749999994,2.6855468749999996
492,dripping,268.55468749999994,2.6855468749999996
493,dripping,268.55468749999994,2.6855468749999996
494,dripping,268.55468749999994,2.6855468749999996
495,dripping,268.55468749999994,2.6855468749999996
496,dripping,268.55468749999994,2.6855468749999996
497,dripping,268.55468749999994,2.6855468749999996
498,dripping,268.55468749999994,2.6855468749999996
499,dripping,268.55468749999994,2.6855468749999996
500,dripping,268.55468749999994,2.6855468749999996
501,dripping,268.55468749999994,2.6855468749999996
502,dripping,268.55468749999994,2.6855468749999996
503,dripping,268.55468749999994,2.6855468749999996
504,dripping,268.55468749999994,2.6855468749999996
505,dripping,268.55468749999994,2.6855468749999996
506,dripping,268.55468749999994,2.6855468749999996
507,dripping,268.55468749999994,2.6855468749999996
508,dripping,268.55468749999994,2.6855468749999996
509,dripping,268.55468749999994,2.6855468749999996
510,dripping,268.55468749999994,2.6855468749999996
511,dripping,268.55468749999994,2.6855468749999996
512,dripping,268.55468749999994,2.6855468749999996
513,dripping,268.55468749999994,2.6855468749999996
514,dripping,268.55468749999994,2.6855468749999996
515,dripping,268.55468749999994,2.6855468749999996
516,dripping,268.55468749999994,2.6855468749999996
517,dripping,268.55468749999994,2.6855468749999996
518,dripping,268.55468749999994,2.6855468749999996
519,dripping,268.55468749999994,2.6855468749999996
520,dripping,268.55468749999994,2.6855468749999996
521,dripping,268.55468749999994,2.6855468749999996
522,dripping,268.55468749999994,2.6855468749999996
523,dripping,268.55468749999994,2.6855468749999996
524,dripping,268.55468749999994,2.6855468749999996
525,dripping,268.55468749999994,2.6855468749999996
526,dripping,268.55468749999994,2.6855468749999996
527,dripping,268.55468749999994,2.6855468749999996
528,dripping,268.55468749999994,2.6855468749999996
529,dripping,268.55468749999994,2.6855468749999996
530,dripping,268.55468749999994,2.6855468749999996
531,dripping,268.55468749999994,2.6855468749999996
532,dripping,268.55468749999994,2.6855468749999996
533,dripping,268.55468749999994,2.6855468749999996
534,dripping,268.55468749999994,2.6855468749999996
535,dripping,268.55468749999994,2.6855468749999996
536,dripping,268.55468749999994,2.6855468749999996
537,dripping,268.55468749999994,2.6855468749999996
538,dripping,268.55468749999994,2.6855468749999996
539,dripping,268.55468749999994,2.6855468749999996
540,dripping,268.55468749999994,2.6855468749999996
541,dripping,268.55468749999994,2.6855468749999996
542,dripping,268.55468749999994,2.6855468749999996
543,dripping,268.55468749999994,2.6855468749999996
544,dripping,268.55468749999994,2.6855468749999996
545,dripping,268.55468749999994,2.6855468749999996
546,dripping,268.55468749999994,2.6855468749999996
547,dripping,268.55468749999994,2.6855468749999996
548,dripping,268.55468749999994,2.6855468749999996
549,dripping,268.55468749999994,2.6855468749999996
550,dripping,268.55468749999994,2.6855468749999996
551,dripping,268.55468749999994,2.6855468749999996
552,dripping,268.55468749999994,2.6855468749999996
553,dripping,268.55468749999994,2.6855468749999996
554,dripping,268.55468749999994,2.6855468749999996
555,dripping,268.55468749999994,2.6855468749999996
556,dripping,268.55468749999994,2.6855468749999996
557,dripping,268.55468749999994,2.6855468749999996
558,dripping,268.55468749999994,2.6855468749999996
559,dripping,268.55468749999994,2.6855468749999996
560,dripping,268.55468749999994,2.6855468749999996
