,flow_rate,voltage,image_classification,ml_classification,nn_classification,generalist_ml_classification
163,8.0,4600.66,dripping (84%),undefined,intermitent,undefined
164,8.0,4800.52,intermitent (99%),intermitent,intermitent,intermitent
165,8.0,5000.68,dripping (88%),cone_jet,intermitent,undefined
166,8.0,5200.48,intermitent (95%),cone_jet,intermitent,undefined
167,8.0,5400.62,intermitent (88%),cone_jet,intermitent,undefined
168,8.0,5600.47,intermitent (87%),undefined,intermitent,undefined
169,8.0,5800.66,intermitent (70%),undefined,intermitent,undefined
170,8.0,6000.5,intermitent (97%),undefined,intermitent,undefined
171,8.0,6200.64,multi_jet (58%),undefined,intermitent,undefined
172,8.0,6400.38,cone_jet (98%),undefined,intermitent,undefined
173,8.0,6600.47,multi_jet (98%),undefined,intermitent,undefined
174,8.0,6800.34,cone_jet (81%),undefined,intermitent,undefined
175,8.0,7000.59,multi_jet (82%),undefined,intermitent,undefined
176,8.0,7200.42,multi_jet (89%),undefined,intermitent,undefined
177,8.0,7400.57,multi_jet (79%),undefined,intermitent,undefined
178,8.0,7600.37,multi_jet (100%),undefined,intermitent,undefined
179,8.0,7800.54,multi_jet (100%),undefined,intermitent,undefined
180,8.0,8000.4,multi_jet (100%),undefined,intermitent,undefined
181,8.0,8200.61,multi_jet (100%),undefined,intermitent,undefined
182,8.0,8400.43,multi_jet (100%),undefined,intermitent,undefined
183,8.0,8600.56,multi_jet (100%),undefined,intermitent,undefined
184,8.0,8800.41,multi_jet (100%),undefined,intermitent,undefined
185,8.0,9000.25,multi_jet (100%),undefined,intermitent,undefined
186,9.0,3000.58,dripping (87%),cone_jet,intermitent,undefined
187,9.0,3200.36,dripping (97%),intermitent,intermitent,intermitent
188,9.0,3400.5,dripping (99%),intermitent,intermitent,undefined
189,9.0,3600.34,dripping (100%),intermitent,intermitent,intermitent
190,9.0,3800.62,dripping (100%),cone_jet,intermitent,undefined
191,9.0,4000.35,dripping (87%),undefined,intermitent,undefined
192,9.0,4200.6,dripping (95%),intermitent,intermitent,intermitent
193,9.0,4400.44,dripping (95%),cone_jet,intermitent,undefined
194,9.0,4600.65,dripping (54%),cone_jet,intermitent,undefined
195,9.0,4800.52,dripping (88%),intermitent,intermitent,intermitent
196,9.0,5000.7,dripping (84%),undefined,intermitent,undefined
197,9.0,5200.46,intermitent (78%),cone_jet,intermitent,undefined
198,9.0,5400.61,dripping (63%),cone_jet,intermitent,undefined
199,9.0,5600.46,intermitent (48%),dripping,intermitent,dripping
200,9.0,5800.66,intermitent (93%),undefined,intermitent,undefined
201,9.0,6000.49,cone_jet (95%),undefined,intermitent,undefined
202,9.0,6200.66,cone_jet (100%),undefined,intermitent,undefined
203,9.0,6400.37,cone_jet (53%),undefined,intermitent,undefined
204,9.0,6600.52,multi_jet (67%),undefined,intermitent,undefined
205,9.0,6800.35,multi_jet (57%),undefined,intermitent,undefined
206,9.0,7000.54,cone_jet (78%),undefined,intermitent,undefined
207,9.0,7200.38,multi_jet (58%),undefined,intermitent,undefined
208,9.0,7400.58,multi_jet (98%),undefined,intermitent,undefined
209,9.0,7600.39,multi_jet (97%),undefined,intermitent,undefined
210,9.0,7800.51,multi_jet (96%),undefined,intermitent,undefined
211,9.0,8000.39,multi_jet (100%),undefined,intermitent,undefined
212,9.0,8200.62,multi_jet (100%),undefined,intermitent,undefined
213,9.0,8400.4,multi_jet (100%),undefined,intermitent,undefined
214,9.0,8600.59,multi_jet (100%),undefined,intermitent,undefined
215,9.0,8800.4,multi_jet (100%),undefined,intermitent,undefined
216,9.0,9000.26,multi_jet (100%),undefined,intermitent,undefined
